username, created_at, lng, lat, text
veswift, Tue Apr 21 03:32:58 +0000 2020, -105.222700, 39.755900, #basenjis make the best #nap #buddies ❤️💜🐕😴 @ Golden, Colorado https://t.co/vss8GEn4qQ 
ItzDizney, Tue Apr 21 03:32:58 +0000 2020, -84.433106, 33.767195, @ar_ti_fi_cial Never woulda guessed but you were cute tho. 
rlackaye, Tue Apr 21 03:32:56 +0000 2020, -87.158456, 30.612925, Calling it now- everything’s gonna open back up, but trumps still gonna be like “gotta keep the borders shut just i… https://t.co/FUDXfnEEeF 
ScrumRyanRadio, Tue Apr 21 03:32:58 +0000 2020, -82.447160, 28.219121, @jocelyn_maria https://t.co/RkAB28RRXt 
SillerAndrew, Tue Apr 21 03:32:58 +0000 2020, -98.540651, 29.417501, @laughs_n_lyrics @SteveLemme @Tacoma_FD Lucky 😭 
DLewisSmith, Tue Apr 21 03:32:58 +0000 2020, -121.998644, 37.973327, @chuckwoolery Let’s get some doctors who know the value of a strong immune system and how to promote one speaking out. 
tsen66, Tue Apr 21 03:32:58 +0000 2020, -72.938011, 40.788011, @SpeakerPelosi @AC360 The Democrats and the Left have become the party of HATE, Disinformation and intolerance. Whe… https://t.co/SQZmoSK13s 
kayy_quizzzz, Tue Apr 21 03:32:59 +0000 2020, -119.782465, 36.786042, my bf so fucking annoying bro 
SenpaiNecrom, Tue Apr 21 03:32:59 +0000 2020, -87.807764, 41.737015, @RANK10YGO The horny will make the price go up in price now fuck 
supersaintkid, Tue Apr 21 03:32:59 +0000 2020, -84.291981, 39.789929, u guys 😩 https://t.co/wWZ4nmeeKs 
PamelaR26799199, Tue Apr 21 03:32:59 +0000 2020, -100.293591, 25.641718, @rayadoawewe La ex académica 
lloudamy, Tue Apr 21 03:32:59 +0000 2020, -97.285913, 32.779967, @andersoncooper @donlemon. Love this woman #SongOfTheYear.  Brilliant!!! 
DBFastBreakClub, Tue Apr 21 03:32:59 +0000 2020, -74.156169, 40.958980, @StacieHCarroll1 @jerseyforce_ 👏👏 
Charles32862415, Tue Apr 21 03:32:59 +0000 2020, -118.411907, 34.020789, Very inspiring 🎥 and it hits right at home. Replay for the 10th time....😁😇 https://t.co/2uB9TyA9tE 
sjallday247, Tue Apr 21 03:32:59 +0000 2020, -104.976767, 39.534794, @Chantille21 @MetroByTMobile @jeah2977 @1crazy_chicka @katebri21 @IHeartPele @jorge_metro @DerrickSeay1 @SanyoAdam @MagentaErika Rockstar 
drgambit, Tue Apr 21 03:32:59 +0000 2020, -81.332294, 28.757486, @MooStation Happy pot day! 
heavenlyisa, Tue Apr 21 03:32:59 +0000 2020, -83.804475, 27.698682, i’m 2 seconds away from buying a membership to one of these academic websites with all the answers to everything 
JasmineArment, Tue Apr 21 03:33:00 +0000 2020, -120.583402, 44.145437, today i had a bad panic attack 
__Coronaaa1, Tue Apr 21 03:32:59 +0000 2020, -100.076888, 31.168893, @__Coronaaa See you’re not the only one this happens to ! 
jonathan_shen7, Tue Apr 21 03:33:00 +0000 2020, -117.998733, 33.692542, @RaideretteQT 🤣🤣 https://t.co/x6qq6nVfFR 
yikesmarleyy, Tue Apr 21 03:33:00 +0000 2020, -78.933931, 34.952291, @Whor3TeaArt is that chicken or a pork chop? 
Billy_el_flaco, Tue Apr 21 03:32:59 +0000 2020, -86.519507, 36.574973, #FictionalDeaths that I'm still not over....#finalfantasy7remake https://t.co/peCkRc92g4 
tke240, Tue Apr 21 03:33:00 +0000 2020, -83.173867, 32.678207, @JymEE_ They'll always be one of my very favorites.  Covered several of their songs with my band back in the day an… https://t.co/78RfYgAxJa 
MaxTweetFuckYou, Tue Apr 21 03:32:59 +0000 2020, -86.791549, 36.200008, This is definitely a law firm 
TheRealNoz69, Tue Apr 21 03:33:00 +0000 2020, -111.738566, 33.295215, @Jim_Jordan That’s a lie and you know it Gym 
AlyssaMMueller, Tue Apr 21 03:33:00 +0000 2020, -79.861034, 35.170499, @kandiamandi Facts. Hahahah 
8wolverines8, Tue Apr 21 03:32:58 +0000 2020, -117.022695, 38.502147, @BeateLawton @reviewjournal You can just as easily get it at the grocery store or Walmart or home Dopot or any othe… https://t.co/DfgtaiLZNP 
Terry_mfn_Roxx, Tue Apr 21 03:32:59 +0000 2020, -87.732013, 41.833585, She was serious from the collar grip 
_GodPunchPat, Tue Apr 21 03:33:00 +0000 2020, -95.326899, 29.547885, Make sure you watch Apocrypha on Netflix when you done with them 
emdiane87, Tue Apr 21 03:33:00 +0000 2020, -79.272570, 43.629311, @Say_theword__ Did u see a video when he was saying wat u think he said? Or read wat they media said "he said"? Loo… https://t.co/UsQwffZ61J 
Kimberly_Corban, Tue Apr 21 03:33:00 +0000 2020, -105.550890, 38.997936, @CalliNorton @annamarienzi @nick_lindquist Cool. I am an unapologetic airport shot 2 minutes before scanning your boarding pass. 
